para_id,gold_ids,gold_labels,sonnet_open,sonnet_closed,sonnet_n_closed,sonnet_precision,sonnet_recall,sonnet_f1
Jinkis_Entredichos_1_p1,ana_ideology,Concepto y Crítica de Ideologías,humanismo; hombre-rey-del-universo; fragmentación del hombre; cuerpos de sentido; religiones; idolatría; dimisión intelectual; mediocridad y estupidez; violencia utópica; impunidad cretinizante,ana_humanism; ana_ideology; ana_intelectual; ana_circunstance; ana_history; ana_philosophy; ana_paradoxa; ana_decay,8,0.125,1.0,0.222
Jinkis_Entredichos_1_p2,ana_ideology; ana_intelectual,Concepto y Crítica de Ideologías; Rol y Critica de Intelectuales,filosofía; totalidad; ciencias; lógica; religión; ideologías; maniqueísmo; intelectuales,ana_ideology; ana_intelectual; ana_philosophy; ana_theory; ana_paradoxa,5,0.4,1.0,0.571
Jinkis_Entredichos_1_p3,ana_langpower; ana_circunstance,Poder de las Palabras / Lenguaje; Concepto de Circunstancia. Demanda social,temor; prudencia; circunstancia; servidumbre voluntaria; cobardía; debilidad; impostura,ana_circunstance; ana_intelectual; ana_sitio; ana_langpower; ana_ideology,5,0.4,1.0,0.571
Jinkis_Entredichos_1_p4,ana_ideology,Concepto y Crítica de Ideologías,ideologías; ideologías políticas; imaginación; lateralidades del cuerpo; izquierda; derecha; diligencia taxonómica; centro; tercera posición; alma bella,ana_ideology; ana_langpower; ana_paradoxa; ana_irony,4,0.25,1.0,0.4
Jinkis_Entredichos_1_p5,ana_intelectual; ana_theory,Rol y Critica de Intelectuales; Circulación del Saber,sensibilidad del vértigo; neolacanismo; semiología; crítica literaria; exilio; geometría; política; declaracionismo ideológico; impotencia política,ana_ideology; ana_intelectual; ana_circunstance; ana_polcult; ana_sitio; ana_theory; ana_history; ana_paradoxa,8,0.25,1.0,0.4
Jinkis_Entredichos_1_p6,ana_langpower; ana_polcult,Poder de las Palabras / Lenguaje; Concepto de Política de la Culture / Literatura,política de la cultura; sintagma impotente; anacronismos del pensamiento reglamentado; corrosión de la cultura; cuestión de palabras; política consecuente; universo de lenguaje,ana_polcult; ana_langpower; ana_paradoxa; ana_psychoanalysis; ana_resistance,5,0.4,1.0,0.571
Jinkis_Entredichos_1_p7,ana_langpower,Poder de las Palabras / Lenguaje,poder de las palabras; homenaje; significados; relaciones entre las palabras; sintagmas; significado; sentido de la historia,ana_langpower; ana_history; ana_reading; ana_writing; ana_paradoxa; ana_rethoric; ana_resistance,7,0.143,1.0,0.25
Jinkis_Entredichos_1_p8,ana_langpower,Poder de las Palabras / Lenguaje,palabras como territorios de fronteras limitantes; valor emblemático de las palabras; palabras como insignias o contraseñas; pertenencia a un grupo; discurso materialista; creación; raigambre espiritualista; invención; vocación subjetivista; producción,ana_ideology; ana_langpower; ana_representacionalism; ana_rethoric,4,0.25,1.0,0.4
Jinkis_Entredichos_1_p9,ana_polcult; ana_error,Concepto de Política de la Culture / Literatura; Teoría del Error,traición; juzgar algo por lo que no es; ilusiones públicas; incoherencias entre la obra y sus propósitos; alegoría; léxico; sintaxis; reducción de la práctica de leer; crítica literaria; teneduría de libros; surco del éxito,ana_intelectual; ana_langpower; ana_error; ana_literature; ana_reading; ana_treason; ana_paradoxa; ana_resistance; ana_truth,9,0.111,0.5,0.182
Jinkis_Entredichos_1_p10,ana_polcult; ana_langpower; ana_intelectual,Concepto de Política de la Culture / Literatura; Poder de las Palabras / Lenguaje; Rol y Critica de Intelectuales,función del intelectual; política literaria; realismo; realismo diestro; realismo siniestro; política pragmática; gesto progresista; horror fascinado; indignación moral,ana_ideology; ana_intelectual; ana_polcult; ana_langpower; ana_literature; ana_paradoxa; ana_literary_genre; ana_representacionalism; ana_truth,9,0.333,1.0,0.5
Jinkis_Entredichos_1_p11,ana_langpower; ana_history,Poder de las Palabras / Lenguaje; Concepto de Tiempo Histórico,dimensión histórica de la palabra; historicismo; relativismo histórico; oportunismo; poder travestista de las palabras; palabras que muestran al disimular; tiempo ingobernable,ana_langpower; ana_history; ana_paradoxa; ana_truth; ana_ideology,5,0.4,1.0,0.571
Jinkis_Entredichos_1_p12,ana_langpower,Poder de las Palabras / Lenguaje,poder de las palabras; palabras del poder; censura; unanimidad contra la censura; formas insidiosas de la censura; libertad de pensamiento; consecuencias de la escritura; impotencia sintáctica; adversario de la censura,ana_langpower; ana_polcult; ana_ideology; ana_paradoxa; ana_truth; ana_intelectual; ana_resistance,7,0.143,1.0,0.25
Jinkis_Entredichos_1_p13,ana_langpower,Poder de las Palabras / Lenguaje,censura; violencia como categoría económica; economía libidinal; dinero; Espíritu Santo; luna como moneda,ana_suplemento; ana_langpower; ana_psychoanalysis; ana_paradoxa; ana_irony; ana_transgression,6,0.167,1.0,0.286
Jinkis_Entredichos_1_p14,ana_sitio; ana_polcult; ana_history,Concepto de Sitio/Lugar para el Trabajo Intelectual/de la Lectura; Concepto de Política de la Culture / Literatura; Concepto de Tiempo Histórico,los bordes de un camino; desperdicios; rodeos; deriva; basurales; literatura; uso histórico de los textos; textos que no pueden ser asimilados; escándalo; transgresión de límites; demarcación de géneros; traición de la literatura; imposibilidad de responder a las demandas sociales; disentimiento con la moral; no-lugar de lo injustificado,ana_sitio; ana_literature; ana_circunstance; ana_polcult; ana_transgression; ana_treason; ana_resistance; ana_paradoxa; ana_representacionalism; ana_literary_genre,10,0.2,0.667,0.308
Jinkis_Entredichos_1_p15,ana_sitio; ana_intelectual,Concepto de Sitio/Lugar para el Trabajo Intelectual/de la Lectura; Rol y Critica de Intelectuales,amistad; diferencias; eclecticismo; discusión; odios compartidos; goce intelectual; intelectual,ana_intelectual; ana_sitio; ana_psychoanalysis; ana_paradoxa; ana_essay,5,0.4,1.0,0.571
Jinkis_Entredichos_1_p16,ana_intelectual; ana_humanism,Rol y Critica de Intelectuales; Concepto de Humanismo,inteligencia; la idea que el escritor tiene de lo que hace; oposición entre creación e inteligencia; intelectual; traición; intelectual comprometido; conformismo; compromiso; nihilismo; indiferencia; carácter asocial de la democracia; desvalorización de la empresa colectiva; función trascendente del intelectual; modalidad artesanal; crisis del intelectual como intelligentzia; concepto humanista de libertad,ana_intelectual; ana_ideology; ana_humanism; ana_polcult; ana_circunstance; ana_psychoanalysis; ana_paradoxa; ana_theory,8,0.25,1.0,0.4
Jinkis_Entredichos_1_p17,ana_intelectual; ana_sitio,Rol y Critica de Intelectuales; Concepto de Sitio/Lugar para el Trabajo Intelectual/de la Lectura,intelectual; provinciano; autodidacta; solitario aprendizaje; heroísmo; sufrimiento; desarraigo; traición del origen; soledad heroica; novela familiar; originalidad; confrontación pública,ana_intelectual; ana_circunstance; ana_sitio; ana_psychoanalysis; ana_writing; ana_transgression; ana_treason; ana_paradoxa,8,0.25,1.0,0.4
Jinkis_Entredichos_1_p18,ana_langpower; ana_sitio,Poder de las Palabras / Lenguaje; Concepto de Sitio/Lugar para el Trabajo Intelectual/de la Lectura,institucionalización; palabra proseguida; continuidad; discontinuidad; frivolidad estructuralista; equivocación verdadera; error; respuesta singular,ana_sitio; ana_error; ana_langpower; ana_writing; ana_paradoxa; ana_structuralism; ana_literature; ana_resistance,8,0.25,1.0,0.4
Grüner_Entredichos_1_p1,ana_psychoanalysis,Deseo / Goce / Inconsciente,deseo; utilidad; sombra,ana_psychoanalysis; ana_paradoxa; ana_literature,3,0.333,1.0,0.5
Grüner_Entredichos_1_p2,ana_circunstance,Concepto de Circunstancia. Demanda social,demanda social; verdad,ana_circunstance; ana_truth; ana_intelectual,3,0.333,1.0,0.5
Grüner_Entredichos_1_p7,ana_error; ana_writing; ana_langpower,Teoría del Error; Tópico Postestructuralista; Poder de las Palabras / Lenguaje,escritura; seducción; violencia amorosa; tentación del vacío; magia del desvío; terror al error; pasión del errar; ruinas circulares; espesor de una ausencia,ana_writing; ana_literature; ana_error; ana_transgression; ana_blanchot; ana_paradoxa; ana_psychoanalysis; ana_treason; ana_resistance,9,0.222,0.667,0.333
Grüner_Entredichos_1_p8,ana_writing; ana_treason,Tópico Postestructuralista; Literatura como traición a la lengua,escritura; culpabilidad impertinente; territorio desmedido para las cartografías de la lengua,ana_literature; ana_writing; ana_langpower; ana_treason; ana_transgression; ana_resistance,6,0.333,1.0,0.5
Grüner_Entredichos_1_p9,ana_langpower,Poder de las Palabras / Lenguaje,delito esencial; desconfianza en la palabra; inocencia principal del lenguaje; representación del mundo,ana_langpower; ana_writing; ana_literature; ana_representacionalism; ana_paradoxa; ana_resistance,6,0.167,1.0,0.286
Grüner_Entredichos_1_p10,ana_nietzsche; ana_langpower,Influencia de Friedrich Nietzsche; Poder de las Palabras / Lenguaje,ilusionismo de la escritura como imagen; ut pictura poesis; distancia con la imagen; pérdida de la unidad; intercambio; moneda de lo comunicable; práctica escatológica donadora de certidumbres; gramática,ana_literature; ana_writing; ana_langpower; ana_rethoric; ana_representacionalism; ana_resistance; ana_nietzsche; ana_truth; ana_paradoxa,9,0.222,1.0,0.364
Grüner_Entredichos_1_p11,ana_literature,"Poder de la Literatura: diferencia radical, desvío, interrogación, silencio, ausencia",comunicabilidad; absurdo; literariedad; lo literario; interrogación; certidumbre; Nada; estado de sitio,ana_literature; ana_sitio; ana_langpower; ana_resistance; ana_paradoxa; ana_writing,6,0.167,1.0,0.286
Grüner_Entredichos_1_p12,ana_literature; ana_error; ana_langpower; ana_structuralism; ana_transgression; ana_treason,"Poder de la Literatura: diferencia radical, desvío, interrogación, silencio, ausencia; Teoría del Error; Poder de las Palabras / Lenguaje; Presencia del estructuralismo; De géneros, códigos, morales; Literatura como traición a la lengua",escritura; oposición saussuriana; literatura; forma; razón de Estado; lo totalitario del lenguaje; traición al destino de la lengua; transgresión; experiencia de los límites; criminal de la lengua; mal decir; lugar de lo imposible; asunción de la Muerte,ana_langpower; ana_literature; ana_writing; ana_transgression; ana_treason; ana_paradoxa; ana_resistance; ana_psychoanalysis; ana_blanchot; ana_structuralism,10,0.5,0.833,0.625
Grüner_Entredichos_1_p13,ana_literature; ana_circunstance; ana_paradoxa,"Poder de la Literatura: diferencia radical, desvío, interrogación, silencio, ausencia; Concepto de Circunstancia. Demanda social; Contradicción y paradoja como modo del pensamiento y la enunciación",utilidad social de la literatura; lo negativo de toda utilidad; aporía de lo ideológico; arte por el arte; instalarse en la contradicción; rechazo del ejercicio del poder; escucha culpabilizada; compromiso literario,ana_ideology; ana_literature; ana_paradoxa; ana_langpower; ana_polcult; ana_intelectual; ana_resistance; ana_writing,8,0.25,0.667,0.364
Gusmán_Entredichos_1_p1,ana_literary_genre,"Géneros literarios (picaresca, parodia, utopía, realismo)",retórica escolar; relatos ejemplares; modelo; ideal; tiempo de los justos; tópicos; picaresca; parodia; utopía,ana_history; ana_rethoric; ana_literary_genre; ana_literature,4,0.25,1.0,0.4
Gusmán_Entredichos_1_p2,ana_history; ana_literature,"Concepto de Tiempo Histórico; Poder de la Literatura: diferencia radical, desvío, interrogación, silencio, ausencia",montura platónica; suplementos; coyuntura; historia; iconografía infantil; cuentos de hadas,ana_history; ana_suplemento; ana_sitio; ana_ideology; ana_representacionalism; ana_irony,6,0.167,0.5,0.25
