lemma,n_instances,n_paragraphs,tfidf_rank,example_forms,example_para_ids,enrichment_score,in_current_seeds,keep
literatura,220,181,2,literatura; literatura argentina; literatura fantástica,Jinkis_Entredichos_1_p9; Jinkis_Entredichos_1_p14,2.142,False,
muerte,179,166,1,muerte; la muerte; círculo de la muerte,Gusmán_Entredichos_1_p16,-0.018,True, shared
politico,236,163,3,política; discurso político; enunciación política,Jinkis_Entredichos_1_p5; Jinkis_Entredichos_1_p6; Jinkis_Entredichos_1_p9,0.324,False,
orden,183,151,5,orden; órdenes; orden constitucional,Jinkis_Entredichos_1_p10; Gusmán_Entredichos_1_p6,-0.386,False,
literario,167,138,10,crítica literaria; tradición literaria; historia literaria,Jinkis_Entredichos_1_p5; Jinkis_Entredichos_1_p9,1.82,False,
escritura,149,135,9,escritura; técnica de escritura; espacio de la escritura,Jinkis_Entredichos_1_p10; Jinkis_Entredichos_1_p17; Grüner_Entredichos_1_p7,1.847,True, shared
ley,169,135,4,ley; Ley de Obediencia Debida; leyes,Grüner_Entredichos_1_p12,-1.134,False,
historia,147,124,13,historia; historia literaria; historia de la literatura,Jinkis_Entredichos_1_p1; Jinkis_Entredichos_1_p7; Gusmán_Entredichos_1_p2,0.973,False,
palabra,138,124,8,palabra; palabras; palabra escrita,Jinkis_Entredichos_1_p6; Jinkis_Entredichos_1_p7,0.283,False,
cuerpo,138,122,11,cuerpo; cuerpos; cuerpo femenino,Jinkis_Entredichos_1_p4,0.091,False,
obediencia,158,122,7,obediencia debida; obediencia; deber de obediencia,,-1.032,False,
discurso,155,114,15,discurso; discurso político; discursos,Jinkis_Entredichos_1_p14; Jinkis_Entredichos_1_p16; Gusmán_Entredichos_1_p5,0.955,False,
tiempo,126,104,14,tiempo; tiempo caballuno; tiempos,Jinkis_Entredichos_1_p11; Gusmán_Entredichos_1_p1; Gusmán_Entredichos_1_p7,1.266,False,
poesia,118,102,6,poesía; lugar de la poesía; poesía erótica,Grüner_Entredichos_1_p10,0.015,False,
mundo,108,94,16,mundo; mundo interior; mundo imaginario,Grüner_Entredichos_1_p9; Grüner_Entredichos_1_p12,1.165,False,
lenguaje,110,93,23,lenguaje; lenguajes; lenguaje de la psicología,Jinkis_Entredichos_1_p6; Grüner_Entredichos_1_p9,1.054,False,
novela,102,93,20,novela; novelas; novela histórica,,1.054,False,
guerra,117,93,17,guerra; guerras; guerra revolucionaria,,-0.238,False,
militar,104,90,18,obediencia militar; militares; derecho militar,,-0.727,False,
sentido,98,87,29,sentido; sentidos; distinción sentida,Jinkis_Entredichos_1_p7; Jinkis_Entredichos_1_p14; Grüner_Entredichos_1_p6,1.25,False,
relato,94,87,24,relato; relatos; relatos ejemplares,Gusmán_Entredichos_1_p1; Gusmán_Entredichos_1_p6; Gusmán_Entredichos_1_p11,0.989,False,
lengua,118,83,34,lengua; lengua materna; lenguas,Grüner_Entredichos_1_p8; Grüner_Entredichos_1_p12; Gusmán_Entredichos_1_p4,2.027,False,
vida,91,82,19,vida; vida social; vida cotidiana,,0.716,False,
alma,97,82,12,alma; alma azul; alma grande,Gusmán_Entredichos_1_p4; Gusmán_Entredichos_1_p6,-1.744,False,
lectura,94,80,28,lectura; lectura entre líneas; pacto de lectura,,1.921,False, shared
derecho,104,80,26,derecho; derecho penal; derechos,Jinkis_Entredichos_1_p4,-0.608,False,
texto,89,79,25,texto; textos; texto literario,Jinkis_Entredichos_1_p9,1.093,False,
responsabilidad,79,75,32,responsabilidad; responsabilidad penal; responsabilidades,Gusmán_Entredichos_1_p10,-0.543,False,
genero,88,74,37,género; géneros; género humano,Jinkis_Entredichos_1_p14,1.305,False,
noche,80,72,22,noche; noche sagrada; azul de la noche,,-0.502,False,
social,77,69,47,ciencias sociales; relaciones sociales; vida social,Jinkis_Entredichos_1_p1; Jinkis_Entredichos_1_p14; Jinkis_Entredichos_1_p16,0.066,False,
delito,86,68,39,delito; delitos; delitos atroces,,-1.558,False,
hombre,72,68,33,hombre; hombres; forma corrompida del hombre,Jinkis_Entredichos_1_p1,0.081,False,
conciencia,72,67,45,conciencia; conciencia dudosa; conciencias,,0.715,False,
dolor,68,66,21,dolor; el dolor; Juez de los dolores humanos,,-0.415,False,
sueno,71,66,42,sueño; sueños; sueño de Oriente,,0.464,False,
judio,83,66,38,judíos; judío; cuestión judía,,0.112,False,
traduccion,104,66,27,traducción; historia de la traducción; mala traducción,,1.131,False,
voz,76,66,43,voz; voces; voz lunar,,0.731,False,
dinero,77,65,35,dinero; dinero nuevo; función del dinero,Jinkis_Entredichos_1_p13; Grüner_Entredichos_1_p10,-1.513,False,
espacio,68,64,55,espacio; espacio blanco; deconstrucción del espacio,,0.981,False, shared
humano,68,64,44,género humano; ser humano; historia humana,Jinkis_Entredichos_1_p14,-0.384,False,
extranjero,64,63,31,extranjero; enemigo extranjero; lengua extranjera,,-0.368,False,
realidad,73,63,52,realidad; realidad exterior; realidades sociales,Jinkis_Entredichos_1_p2; Jinkis_Entredichos_1_p14; Gusmán_Entredichos_1_p5,2.134,False,
memorio,63,63,41,memoria,,0.78,False,
